time,co,co2,hap_bat_v,p1,p2,sensor_id,topic,type
2017-05-15T10:26:39Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T10:25:44Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T10:24:45Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T10:23:43Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T10:22:40Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T10:21:43Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T10:20:42Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T10:19:42Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T10:18:42Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T10:17:44Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T10:16:42Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T10:15:43Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T10:14:40Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T10:13:43Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T10:12:42Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T10:11:44Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T10:10:44Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T10:09:40Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T10:08:42Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T10:07:44Z,0,0,4.21,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T10:07:21Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T10:05:45Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T10:04:42Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T10:03:44Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T10:02:40Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T10:01:42Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T10:00:40Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:59:43Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:58:45Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:57:40Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:56:44Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:55:44Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:54:44Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:53:43Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:52:44Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:51:44Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:50:45Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:49:43Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:48:43Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:47:43Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:46:43Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:45:43Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:44:39Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:43:45Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:42:41Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:41:43Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:40:44Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:39:43Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:39:20Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:37:39Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:36:42Z,0,0,4.19,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:35:43Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:34:43Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:33:44Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
2017-05-15T09:32:43Z,0,0,4.2,0,0,4825e0db406045ae,ITAY_HAP,hap_sum
